Country,Year,Internet Users (% of population,Mobile Subscriptioon,Cost per GB_USD
Benin,2020,22.1,11100000.00,27.22
Benin,2021,28.2,12700000.00,3.61
Benin,2022,30,14600000.00,2.61
Benin,2023,32.2,16400000.00,2.37
Cabo Verde,2020,69.4,544729.00,4.81
Cabo Verde,2021,70.3,590171.00,4.78
Cabo Verde,2022,72.8,588593.00,5.34
Cabo Verde,2023,73.5,590354.00,3.24
Cote d'Ivoire,2020,36,40100000.00,3.20
Cote d'Ivoire,2021,36,44600000.00,2.58
Cote d'Ivoire,2022,38.4,49000000.00,4.04
Cote d'Ivoire,2023,40.7,53600000.00,1.18
"Gambia, The",2020,34.2,2680000.00,5.10
"Gambia, The",2021,37.6,2680000.00,5.86
"Gambia, The",2022,44,,5.72
"Gambia, The",2023,45.9,,3.56
Ghana,2020,62.5,40500000.00,0.94
Ghana,2021,68.6,40500000.00,0.66
Ghana,2022,69.4,40000000.00,0.61
Ghana,2023,69.9,33400000.00,0.40
Guinea,2020,23.4,13800000.00,2.08
Guinea,2021,24.3,13800000.00,1.99
Guinea,2022,24.7,,1.74
Guinea,2023,26.5,,1.51
Guinea-Bissau,2020,20.5,1910000.00,4.12
Guinea-Bissau,2021,23.4,2240000.00,4.41
Guinea-Bissau,2022,27.6,2650000.00,1.53
Guinea-Bissau,2023,32.5,2760000.00,2.72
Liberia,2020,19.4,1650000.00,3.25
Liberia,2021,20.6,1650000.00,2.59
Liberia,2022,21.9,,2.92
Liberia,2023,23.5,,2.50
Nigeria,2020,31.9,204000000.00,1.39
Nigeria,2021,35.5,195000000.00,0.88
Nigeria,2022,37.7,222000000.00,0.71
Nigeria,2023,39.2,224000000.00,0.39
Senegal,2020,53.3,19100000.00,3.30
Senegal,2021,57.3,19900000.00,0.94
Senegal,2022,59.2,20900000.00,1.53
Senegal,2023,60.6,22400000.00,1.63
Sierra Leone,2020,17.1,6880000.00,3.69
Sierra Leone,2021,18.7,8230000.00,3.26
Sierra Leone,2022,19.2,,1.26
Sierra Leone,2023,20.6,,0.67
Togo,2020,29,6520000.00,4.50
Togo,2021,30.3,6250000.00,4.69
Togo,2022,35.5,6560000.00,2.17
Togo,2023,37,7050000.00,1.45
